,airline,airport,state,lat,lon
1408802,OO,EAU,WI,44.86,-91.48
1437802,MQ,LRD,TX,27.54,-99.46
1440601,MQ,GCK,KS,37.92,-100.72
1444546,MQ,JLN,MO,37.15,-94.49
1445246,MQ,LCH,LA,30.12,-93.22
1445356,OO,CDC,UT,37.7,-113.09
1447635,OO,SGU,UT,37.09,-113.59
1450192,OO,PIH,ID,42.9,-112.59
1460772,EV,DRT,TX,29.37,-100.92
1468177,EV,ABY,GA,31.53,-84.19
1495871,AS,CDV,AK,60.49,-145.47
1501271,AS,ADQ,AK,57.75,-152.49
1501453,AS,AKN,AK,58.67,-156.64
1501793,AS,ADK,AK,51.87,-176.64
1501826,AS,SCC,AK,70.19,-148.46
1502016,AS,OTZ,AK,66.88,-162.59
1502227,AS,BRW,AK,71.28,-156.76
1502355,AS,BET,AK,60.77,-161.83
1502670,AS,DLG,AK,59.04,-158.5
1506532,OO,SUN,ID,43.5,-114.29
1507095,OO,WYS,MT,44.68,-111.11
1599868,EV,OAJ,NC,34.82,-77.61
1626043,EV,EWN,NC,35.07,-77.04
1635598,F9,SHD,VA,38.26,-78.89
1689831,OO,IPL,CA,32.83,-115.57
1690042,OO,IYK,CA,35.65,-117.82
1842759,OO,SMX,CA,34.89,-120.45
1869518,YV,TEX,CO,37.95,-107.9
1889653,MQ,DBQ,IA,42.4,-90.7
1889798,OO,CMX,MI,47.16,-88.48
2223999,EV,BPT,TX,29.95,-94.02
2857271,EV,LYH,VA,37.32,-79.2
5719237,EV,TUP,MS,34.26,-88.77
9065246,EV,FLO,SC,34.18,-79.72
